,Name,Album,Artist,Link,Image
62,I Forgot That You Existed,Lover,Taylor Swift,null,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
63,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis,https://p.scdn.co/mp3-preview/fc1aa9aa9e150cae0ad9c545a7f2ea1e3d1fc903?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2731fcd19d56ad06561b76c1665
64,Padam Padam,Tension (Deluxe),Kylie Minogue,https://p.scdn.co/mp3-preview/8f5be31c03eee44798805c82ad9c8ba607075781?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27397382c8f649a621b96bbb819
65,My Head & My Heart,Heaven & Hell,Ava Max,https://p.scdn.co/mp3-preview/60f31c477e494d379c3eb8e6ff15d8007d0cbe0b?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7
66,3 Nights,"Don't Forget About Me, Demos",Dominic Fike,https://p.scdn.co/mp3-preview/8325ba1536d8717e84cc033a80928331c2a8551a?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2734a42166d927b3acce345c5c0
67,Acapulco,Acapulco,Jason Derulo,https://p.scdn.co/mp3-preview/89851113e01728e469e09eadc5781bb2293d7cd2?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273aa56db8822c499a523b53235
68,About Damn Time,About Damn Time,Lizzo,https://p.scdn.co/mp3-preview/bbf8a26d38f7d8c7191dd64bd7c21a4cec8b61a0?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04
69,Love Grows (Where My Rosemary Goes),Love Grows (Where My Rosemary Goes) & Other Gems,Edison Lighthouse,https://p.scdn.co/mp3-preview/7cf77688f02e03e242216149c4cc0b0742bbb7c1?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2739a0011cc9d31cf969b656905
70,Higher Love,Higher Love,Kygo,https://p.scdn.co/mp3-preview/6737d20b6eba8e6bc5b9270d884b04022f38d713?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2737c8977a0ad3a3a0627be9ed7
71,Remember,Remember,Becky Hill,null,https://i.scdn.co/image/ab67616d0000b273fe3a09ccabe5f5e6646f7512
72,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),NEIKED,null,https://i.scdn.co/image/ab67616d0000b2736b742298f7f36717855c4caf
73,Spicy Margarita,Spicy Margarita,Jason Derulo,https://p.scdn.co/mp3-preview/6b784ca3bc255483c1fffec94716aeb942572bce?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27383d3bda9497fd65068f99c3d
74,Dancing In The Moonlight (feat. NEIMY),Dancing In The Moonlight (feat. NEIMY),Jubël,https://p.scdn.co/mp3-preview/bb12c19f77070523514485606e0fdce7c22ab26c?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2736db52dfa1ca09784ab0bd6e1
75,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Trolls,https://p.scdn.co/mp3-preview/8f4eee79e9574c8db62ebbdbbb5f14d6f9ed5fba?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273d965d29d7dcf46ade5a8a7e4
76,Queen of Kings,Queen of Kings,Alessandra,null,https://i.scdn.co/image/ab67616d0000b27389a8d6b547ec327bef9d395d
77,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),Social House,null,https://i.scdn.co/image/ab67616d0000b273013314e9861a2c4a796b2176
78,Put Your Records On,Put Your Records On,Ritt Momney,https://p.scdn.co/mp3-preview/5f8e41ff69918de51a17df2f9b4517c1fa319b9c?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273d52d8eb3be188231e120dbbd
79,Take You Dancing,Take You Dancing,Jason Derulo,https://p.scdn.co/mp3-preview/51ee929f97903b71bdb13632d1142e7272d5193b?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273d9ddaea6ccea73f812f8afbc
80,4runner,4runner,Brenn!,null,https://i.scdn.co/image/ab67616d0000b2736bd7fee1eba0d7b79cb18196
81,Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes,null,https://i.scdn.co/image/ab67616d0000b273a111c87c210cc9bff93948bd
82,If It's Lovin' That You Want,Music Of The Sun,Rihanna,null,https://i.scdn.co/image/ab67616d0000b273b21609e1a2d7c1b7ba8efae2
